TEST_TYPE_CODE,VALUE,KEY_RES,,,,
TTEXEMTY,Tire/rim on vehicle,50000,,,,
TTEXEMTY,Tire/rim,50001,,,,
TTEXEMTY,Tire only,50002,,,,
TTEXEMTY,Image(s) depicting tire,50003,,,,
TTEXEMTY,Known impression(s),50004,,,,
TTEXEMTY,Partial tire/component(s) (describe),50005,,,,
TTTITYPE,Bike tire,50006,,,,
TTTITYPE,Commercial/industrial vehicle tire,50007,,,,
TTTITYPE,Equipment/appliance tire,50008,,,,
TTTITYPE,Motorcycle/moped tire,50009,,,,
TTTITYPE,Other style (describe),50010,,,,
TTTITYPE,Passenger vehicle tire,50011,,,,
TTTITYPE,Tire traction accessory,50012,,,,
TTTITYPE,Tractor tire,50013,,,,
TTTITYPE,Trailer tire,50014,,,,
TTRECMEA,Not measured,50015,,,,
TTRECMEA,Tire Track width (widest),50016,,,,
TTRECMEA,Wear Indicator spacing,50017,,,,
TTRECMEA,Tire band/rib width (A),50018,,,,
TTRECMEA,Tire band/rib width (B),50019,,,,
TTRECMEA,Tire band/rib width (C),50020,,,,
TTRECMEA,Tire band/rib width (D),50021,,,,
TTRECMEA,Tire band/rib width (E),50022,,,,
TTRECMEA,Tire band/rib width (F),50023,,,,
TTRECMEA,Tire band/rib width (G),50024,,,,
TTRECMEA,Tire band/rib width (H),50025,,,,
TTRECMEA,Tire groove width (1),50026,,,,
TTRECMEA,Tire groove width (2),50027,,,,
TTRECMEA,Tire groove width (3),50028,,,,
TTRECMEA,Tire groove width (4),50029,,,,
TTRECMEA,Tire groove width (5),50030,,,,
TTRECMEA,Tire groove width (6),50031,,,,
TTRECMEA,Tire groove width (7),50032,,,,
TTRECMEA,Tire groove width (8),50033,,,,
TTRECMEA,Other feature measurement (specify),50034,,,,
TTRECMEA,Other feature measurement (specify),50035,,,,
TTRECMEA,Other feature measurement (specify),50036,,,,
TTTTPAFE,Abrasion(s)/scrape(s),50037,,,,
TTTTPAFE,Cut(s),50038,,,,
TTTTPAFE,Distinctive wear,50039,,,,
TTTTPAFE,Feathering,50040,,,,
TTTTPAFE,Flap(s)/tear(s),50041,,,,
TTTTPAFE,Flash/flashing,50042,,,,
TTTTPAFE,Foreign object(s) (describe),50043,,,,
TTTTPAFE,Gouge(s)/void(s),50044,,,,
TTTTPAFE,Manuf. defect (describe),50045,,,,
TTTTPAFE,Mold feature(s)/texture,50046,,,,
TTTTPAFE,Mold air bubbles,50047,,,,
TTTTPAFE,Not applicable,50048,,,,
TTTTPAFE,Other #1 (describe),50049,,,,
TTTTPAFE,Other #2 (describe),50050,,,,
TTTTPAFE,Puncture(s),50051,,,,
TTTTPAFE,Schallamach pattern,50052,,,,
TTTTPAFE,Stone hold(s),50053,,,,
TTTTPAFE,Studs/cleats (describe),50054,,,,
TTTTPAFE,Tire plug,50055,,,,
TTTTPAFE,Tire repair (other),50056,,,,
TTTIMECH,Digital capture (photo/scan),50057,,,,
TTTIMECH,Hand prepared,50058,,,,
TTTIMECH,Hand rolled,50059,,,,
TTTIMECH,Inflated on rim,50060,,,,
TTTIMECH,Low pressure/deflated,50061,,,,
TTTIMECH,Other (describe),50062,,,,
TTTIMECH,Partial impression (describe),50063,,,,
TTTIMECH,Tire rotation – forward,50064,,,,
TTTIMECH,Tire rotation – rearward,50065,,,,
TTTIMECH,Under load (on vehicle),50066,,,,
TTTVTEVA,Reproducing detail observed,50067,,,,
TTTVTEVA,Reproducing detail not observed,50068,,,,
TTTVTEVA,Variation/distortion observed – Physical size,50069,,,,
TTTVTEVA,Variation/distortion observed – General wear clarity,50070,,,,
TTTVTEVA,Variation/distortion observed – RAC clarity/quality,50071,,,,
TTTVTEVA,Variation/distortion observed – other (describe),50072,,,,
TTTVTEVA,No significant variation/distortion observed,50073,,,,
